,name,coor
0,Andhra Pradesh,-75.0 -204.0
1,Arunachal Pradesh,273.0 131.0
2,Assam,230.0 77.0
3,Bihar,77.0 59.0
4,Chhattisgarh,-18.0 -46.0
5,Goa,-191.0 -192.0
6,Gujarat,-251.0 -8.0
7,Haryana,-143.0 148.0
8,Himachal Pradesh,-105.0 227.0
9,Jammu and Kashmir,-134.0 291.0
10,Jharkhand,62.0 11.0
11,Karnataka,-164.0 -222.0
12,Kerala,-152.0 -306.0
13,Madhya Pradesh,-108.0 -1.0
14,Maharashtra,-166.0 -90.0
15,Manipur,274.0 31.0
16,Meghalaya,197.0 51.0
17,Mizoram,246.0 -7.0
18,Nagaland,296.0 67.0
19,Odisha,52.0 -75.0
20,Punjab,-171.0 189.0
21,Rajasthan,-230.0 88.0
22,Sikkim,139.0 111.0
23,Tamil Nadu,-80.0 -297.0
24,Telangana,-77.0 -132.0
25,Tripura,196.0 13.0
26,Uttar Pradesh,-42.0 108.0
27,Uttarakhand,-62.0 183.0
28,West Bengal,132.0 -6.0